trial 0:	duration 	120000092
trial 1:	distance	0.0341334
trial 2:	duration 	120000092
trial 4:	distance	0.0367172
trial 5:	distance	0.0325486
trial 6:	distance	0.0335282
trial 7:	distance	0.0383848
trial 8:	distance	0.0335176
trial 9:	distance	0.0224564
trial 10:	distance	0.0325595
trial 13:	distance	0.0281497
trial 14:	distance	0.0302824
trial 15:	distance	0.0352172
trial 16:	distance	0.0230318
trial 18:	duration 	120000088
trial 19:	distance	0.0329729
trial 20:	duration 	120000062
trial 21:	distance	0.0379917
trial 22:	distance	0.0230008
trial 23:	distance	0.0279341
trial 24:	duration 	120000099
trial 25:	distance	0.0340168
trial 26:	distance	0.0204847
trial 27:	distance	0.03553
trial 28:	duration 	120000065
trial 29:	distance	0.0324657
