trial 0:	4.52459	0.00152624
trial 1:	3.13846	0.00397799
trial 2:	3.25	0.0037352
trial 3:	3.24194	0.00112257
trial 4:	3.26154	0.00205877
trial 5:	3.39394	0.0010971
trial 6:	3.17188	0.00225225
trial 7:	3.18033	0.00290375
trial 8:	3.21875	0.00169673
trial 9:	3.125	0.00025907
trial 10:	3.30159	0.00172386
trial 11:	3.19048	0.00358335
trial 12:	3.08621	0.0107207
trial 13:	3.29688	0.00362726
trial 14:	3.74242	0.000325517
trial 15:	3.14286	0.00183142
trial 16:	3.5	0.00486888
trial 17:	3.11111	0.00298627
trial 18:	3.13115	0.00106144
trial 19:	3.09677	0.000995348
trial 20:	3	0.00943525
trial 21:	3.13333	0.00251859
trial 22:	3.19048	0.00507845
trial 23:	3.08197	0.00554633
trial 24:	3.07812	0.00152638
trial 25:	3.32308	0.000117465
trial 26:	3.24194	0.00361751
trial 27:	3.40625	0.00137795
trial 28:	3.36923	0.00274125
trial 29:	3.4918	0.00459562
