trial 0:	distance	0.0362018
trial 1:	duration 	120000063
trial 2:	distance	0.0357959
trial 3:	distance	0.0368671
trial 4:	duration 	120000095
trial 5:	duration 	120000061
trial 6:	distance	0.0272109
trial 7:	duration 	120000064
trial 8:	distance	0.0356226
trial 9:	duration 	120000064
trial 10:	distance	0.0364254
trial 11:	distance	0.0272346
trial 12:	distance	0.0359831
trial 13:	distance	0.0347556
trial 14:	distance	0.0366219
trial 15:	distance	0.0262247
trial 16:	distance	0.03568
trial 17:	distance	0.0243171
trial 18:	duration 	120000091
trial 19:	duration 	120000063
trial 20:	duration 	120000094
trial 21:	distance	0.0400186
trial 22:	duration 	120000088
trial 23:	distance	0.0360384
trial 24:	distance	0.0345616
trial 25:	distance	0.0335284
trial 26:	distance	0.0428771
trial 27:	duration 	120000090
trial 28:	duration 	120000062
trial 29:	duration 	120000094
