trial 0:	2.8	0.0139613	3.29831	2.57057	0.9788
trial 1:	2.54237	0.00314258	0.908399	3.94762	0.990748
trial 2:	2.47368	0.014289	0.795199	3.43354	6.62974
trial 3:	2.50746	0.0128925	3.30684	0.981936	1.01742
trial 4:	2.52308	0.00515063	0.617067	0.214104	3.33493
trial 5:	2.5082	0.0132216	1.18889	1.21198	4.91722
trial 6:	2.83333	0.00837389	1.15242	0.250764	3.49047
trial 7:	2.72414	0.0156778	1.02699	1.84482	2.4551
trial 8:	2.56716	0.0110655	1.48156	0.0447889	4.56797
trial 9:	2.55	0.00484413	0.400076	1.14005	3.40103
trial 10:	2.5303	0.0104035	0.802779	3.13347	6.4527
trial 11:	2.55385	0.00497992	0.0354603	1.24301	2.52364
trial 12:	2.48485	0.00908879	1.58928	4.14806	5.75103
trial 13:	2.45312	0.00876791	1.17836	3.67462	6.68234
trial 14:	2.54098	0.00823771	0.00911798	1.89237	6.54802
trial 15:	2.43548	0.00784218	1.4918	2.2236	3.60661
trial 16:	2.59259	0.0160546	2.9883	5.61722	2.01155
trial 17:	2.35849	0.0188354	4.68897	4.58091	0.0249137
trial 18:	2.5303	0.0132681	24.7215	59.6132	73.0329
trial 19:	2.53226	0.00815853	0.280419	1.79027	0.281274
trial 20:	2.5	0.00848413	0.994184	3.2955	1.51702
trial 21:	2.51471	0.00848037	1.16643	1.42336	1.34696
trial 22:	2.26984	0.00888466	0.458696	1.70606	6.35256
trial 23:	2.36508	0.00544369	0.829104	0.965178	1.27965
trial 24:	2.45161	0.0156525	4.39012	0.748814	4.23581
trial 25:	2.40625	0.0058992	1.32373	2.25685	0.618472
trial 26:	2.38333	0.00873087	1.12459	1.53492	4.43455
trial 27:	2.55738	0.00892938	0.19471	1.88605	6.5565
trial 28:	2.34921	0.00870195	3.54666	1.09823	2.23667
trial 29:	2.46032	0.011029	0.764649	0.56926	4.6199
