trial 0:	distance	0.0376237
trial 1:	distance	0.0353087
trial 2:	distance	0.0229761
trial 3:	distance	0.0370746
trial 4:	distance	0.0360325
trial 5:	duration 	120000066
trial 6:	distance	0.0358472
trial 7:	distance	0.0373295
trial 8:	distance	0.0357647
trial 9:	duration 	120000064
trial 10:	distance	0.0273538
trial 11:	distance	0.0336722
trial 12:	distance	0.0304898
trial 13:	distance	0.0373523
trial 14:	duration 	120000099
trial 15:	distance	0.0368408
trial 16:	distance	0.0361191
trial 17:	distance	0.0263864
trial 18:	duration 	120000069
trial 19:	distance	0.0222736
trial 20:	distance	0.0344245
trial 21:	distance	0.0364074
trial 22:	distance	0.02784
trial 23:	distance	0.0329228
trial 24:	distance	0.03598
trial 25:	distance	0.0406063
trial 26:	duration 	120000094
trial 27:	duration 	120000071
trial 28:	duration 	120000093
trial 29:	distance	0.021979
