trial 0:	93.4776	0.0107284	0.539705	0.188953	5.01336
trial 1:	90.942	0.0101263	3.07615	2.31663	4.84794
trial 2:	95.45	0.00382621	1.34016	1.30612	2.84258
trial 3:	93.6308	0.0134808	3.74305	0.322836	3.67577
trial 4:	91.6667	0.0103955	0.807662	4.64457	5.7507
trial 5:	92.2424	0.010986	0.574816	1.15559	5.40482
trial 6:	91.6818	0.0144239	0.488843	2.30458	4.81387
trial 7:	93.8358	0.00690443	2.25854	1.69641	0.0984974
trial 8:	91.3064	0.00824832	0.653973	3.65992	5.07568
trial 9:	93.7936	0.00553721	2.67858	0.718134	0.527934
trial 10:	91.4921	0.0134838	0.902731	3.63586	6.09584
trial 11:	91.9701	0.00646805	0.99934	0.820398	3.16539
trial 12:	88.9032	0.00436889	0.869947	3.91192	1.44616
trial 13:	93.7727	0.0108097	0.950624	0.191305	6.02607
trial 14:	90.2143	0.0129419	4.1851	2.98398	3.78504
trial 15:	95.7273	0.0122431	0.701486	0.338427	4.94674
trial 16:	91.7692	0.00719749	1.53676	1.78027	1.97641
trial 17:	94.9062	0.00862566	0.983213	3.38721	6.76131
trial 18:	93.25	0.00792532	2.26822	1.95365	4.26495
trial 19:	92.2576	0.00852813	1.81404	2.04876	0.0605373
trial 20:	111.824	0.00376166	0.779982	1.66271	0.88409
trial 21:	101.254	0.00641261	0.00446241	3.25635	3.30604
trial 23:	95.913	0.00814135	0.472647	0.259852	3.67754
trial 24:	93.7206	0.0111769	0.819906	1.0824	5.80806
trial 25:	103.567	0.00832367	0.283624	2.45508	4.93368
trial 26:	109.314	0.01166	3.12352	3.84285	7.24409
trial 28:	99.5429	0.00703546	0.600348	0.665169	2.65224
trial 29:	103.246	0.00955538	2.28294	0.956791	2.03853
