trial 0:	distance	0.0366617
trial 1:	distance	0.0415687
trial 2:	distance	0.0297339
trial 3:	duration 	120000092
trial 4:	distance	0.0364216
trial 5:	duration 	120000098
trial 6:	distance	0.0329935
trial 7:	distance	0.0311745
trial 8:	duration 	120000091
trial 9:	distance	0.0316926
trial 10:	distance	0.0363008
trial 11:	distance	0.0236445
trial 12:	distance	0.0356569
trial 13:	distance	0.0342311
trial 14:	distance	0.0272594
trial 15:	distance	0.0325105
trial 16:	distance	0.0338259
trial 17:	distance	0.0325889
trial 18:	distance	0.0269053
trial 19:	distance	0.0280747
trial 20:	distance	0.0266594
trial 21:	duration 	120000026
trial 22:	distance	0.0345417
trial 23:	duration 	120000064
trial 24:	duration 	120000062
trial 25:	distance	0.0241216
trial 26:	distance	0.0367453
trial 27:	distance	0.0342328
trial 28:	duration 	120000064
trial 29:	distance	0.0297412
