trial 0:	distance	0.0612046
trial 1:	distance	0.0482921
trial 2:	distance	0.0466974
trial 3:	distance	0.0699731
trial 4:	distance	0.0616809
trial 5:	distance	0.0347175
trial 6:	distance	0.0456566
trial 7:	distance	0.064678
trial 8:	distance	0.0500172
trial 9:	distance	0.0328331
trial 10:	duration 	120000092
trial 11:	distance	0.0743134
trial 12:	distance	0.0560136
trial 13:	distance	0.0440552
trial 14:	distance	0.0437427
trial 15:	distance	0.0468253
trial 16:	distance	0.0404934
trial 17:	distance	0.0330854
trial 18:	distance	0.0426483
trial 19:	distance	0.045786
trial 20:	distance	0.0721861
trial 21:	distance	0.0600168
trial 22:	distance	0.0492102
trial 23:	duration 	120000066
trial 24:	duration 	120000092
trial 25:	distance	0.0467975
trial 26:	distance	0.0602643
trial 27:	distance	0.0350433
trial 28:	distance	0.0706436
trial 29:	duration 	120000063
