trial 0:	distance	0.0493615
trial 1:	duration 	120000092
trial 2:	distance	0.0582915
trial 3:	distance	0.0546832
trial 4:	distance	0.0613595
trial 5:	distance	0.057563
trial 6:	distance	0.0421896
trial 7:	distance	0.0423079
trial 8:	distance	0.0432147
trial 9:	distance	0.0569907
trial 10:	distance	0.0533253
trial 11:	distance	0.0450198
trial 12:	distance	0.0596676
trial 13:	distance	0.0629801
trial 14:	distance	0.0506287
trial 15:	duration 	120000066
trial 16:	distance	0.0517311
trial 17:	distance	0.0352878
trial 18:	distance	0.0457561
trial 19:	distance	0.0320995
trial 20:	distance	0.0604169
trial 21:	distance	0.043878
trial 22:	distance	0.0537195
trial 23:	distance	0.0606059
trial 24:	distance	0.0587775
trial 25:	duration 	120000103
trial 26:	distance	0.054095
trial 27:	distance	0.0278792
trial 28:	distance	0.0536025
trial 29:	distance	0.051811
